experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,class,predicted_count,manual_count,signed_error,abs_error,pct_error,abs_pct_error,count_accuracy,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,upward,bus,1,0,1,1,,,,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,upward,car,26,17,9,9,52.94117647058823,52.94117647058823,0.47058823529411764,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,upward,truck,0,5,-5,5,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,downward,bus,0,1,-1,1,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,downward,car,1,35,-34,34,-97.14285714285714,97.14285714285714,0.02857142857142858,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,downward,keke,2,156,-154,154,-98.71794871794872,98.71794871794872,0.012820512820512775,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,downward,truck,1,2,-1,1,-50.0,50.0,0.5,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,upward,bus,0,0,0,0,,,,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,upward,car,4,17,-13,13,-76.47058823529412,76.47058823529412,0.23529411764705888,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,upward,keke,1,120,-119,119,-99.16666666666667,99.16666666666667,0.008333333333333304,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,tuned,botsort,full_frame,upward,truck,0,5,-5,5,-100.0,100.0,0.0,0.15,10.0,0.4
